patent_type,composition_subtype,cmc_subtype,clinical_indications,clinical_population,reasoning_short,lens_id
Composition,Unconjugated Antibody,,[],[],"Claim 1 describes a dual-targeted protein comprising a protein binding to DLL4 and an antibody binding to VEGF, which classifies it as a composition. The antibody is not covalently attached to a payload, thus it is classified as an Unconjugated Antibody.",114-350-353-706-003
Composition,Unconjugated Antibody,,[],[],"Claim 1 claims a monoclonal antibody that binds specifically to DLL4, classifying it as a 'Composition'. There is no mention of covalent attachment to a payload, thus it is categorized as 'Unconjugated Antibody'.",125-709-615-840-999
Composition,Full ADC,,[],[],"Claim 1 explicitly claims an antibody-drug conjugate, which includes a cytotoxic drug covalently attached to an antibody, classifying it as a 'Full ADC'. The primary inventive concept is the composition itself, not a method of treatment.",030-991-883-479-308
Composition,Unconjugated Antibody,,[],[],"Claim 1 explicitly claims an anti-4-1BB antibody or an antigen-binding fragment, classifying it as a composition. There is no mention of covalent attachment to a payload, thus it is categorized as an Unconjugated Antibody.",084-986-690-232-010
Composition,Unconjugated Antibody,,[],[],"Claim 1 explicitly claims an antibody that binds to BCMA, classifying it as a composition. There is no mention of covalent attachment to a payload, thus it is categorized as an unconjugated antibody.",196-104-040-475-33X
CMC,,Purification/Downstream,[],[],"Claim 1 describes a method for purifying Fc-containing bioactive peptides, which focuses on a purification process rather than a composition or treatment method. Therefore, it is classified under CMC as a purification method.",115-816-969-058-583
Composition,Unconjugated Antibody,,[],[],"Claim 1 describes a humanized antibody that binds to human alpha-synuclein, classifying it as a composition. The antibody is not covalently attached to any payload, thus it is categorized as an 'Unconjugated Antibody'.",141-040-150-695-864
Composition,Unconjugated Antibody,,[],[],"Claim 1 describes a bispecific antibody without any covalent attachment to a non-antibody payload, classifying it as an 'Unconjugated Antibody'. The primary inventive concept is the composition of the antibody itself, not a method of treatment.",062-177-527-818-267
Composition,Unconjugated Antibody,,[],[],"Claim 1 is directed to an isolated antibody specifically recognizing B7-H3, which classifies it as a 'Composition'. It does not involve any covalent attachment to a payload, thus it is categorized as 'Unconjugated Antibody'.",040-924-461-597-34X
Clinical,,,['solid tumor'],[],"Claim 1 is a method of treating a solid tumor using a bispecific antibody, which classifies the patent as 'Clinical'. The focus is on the treatment method rather than the composition of the antibody.",013-169-852-887-496
Composition,Unconjugated Antibody,,[],[],"Claim 1 describes a bispecific antibody without any covalent attachment to a non-antibody payload, classifying it as an 'Unconjugated Antibody'. The primary inventive concept is the composition of the antibody itself, not a method of treatment.",106-752-227-105-364
Composition,Unconjugated Antibody,,[],[],"Claim 1 describes an isolated antibody specifically binding to _-syn aggregate, classifying it as a composition. There is no mention of covalent attachment to a payload, thus it is categorized as an unconjugated antibody.",143-154-603-067-990
Composition,Unconjugated Antibody,,[],[],"Claim 1 is directed to an isolated antibody specifically recognizing ROR1, classifying it as a 'Composition'. The antibody is not covalently attached to any payload, thus it is categorized as 'Unconjugated Antibody'.",132-024-389-417-675
Composition,Unconjugated Antibody,,[],[],"Claim 1 describes an anti-PD-L1/anti-LAG3 bispecific antibody, which is classified as a composition. It does not involve any covalent attachment to a payload, thus it is categorized as an Unconjugated Antibody.",035-535-701-536-934
Composition,Unconjugated Antibody,,[],[],"Claim 1 explicitly claims an isolated anti-CLL-1 antibody, classifying it as a composition. There are no claims of covalent attachment to a payload, thus it is categorized as an unconjugated antibody.",126-400-017-050-111
Composition,Full ADC,,[],[],"Claim 1 describes a compound, which is a chemical entity, thus classifying the patent as 'Composition'. The presence of an antibody-drug conjugate in later claims indicates that it is a 'Full ADC' since it involves a defined construct with an antibody, linker, and payload.",032-702-686-208-890
Composition,Unconjugated Antibody,,[],[],"Claim 20 describes a bispecific antibody without any covalent attachment to a non-antibody payload, classifying it as an 'Unconjugated Antibody'. The primary inventive concept is the composition of the bispecific antibody itself, not a method of treatment.",123-305-417-696-371
Composition,Unconjugated Antibody,,[],[],"Claim 1 describes a bispecific antibody without any covalent attachment to a non-antibody payload, classifying it as an 'Unconjugated Antibody'. The primary inventive concept is the composition of the antibody itself, not a method of treatment.",155-867-970-269-637
Composition,Unconjugated Antibody,,[],[],"Claim 1 describes an antibody that binds to alpha-synuclein aggregates, classifying it as a composition. There is no mention of covalent attachment to a payload, thus it is categorized as an unconjugated antibody.",100-484-468-185-151
Composition,Unconjugated Antibody,,[],[],"Claim 1 describes a bispecific antibody without any covalent attachment to a non-antibody payload, classifying it as an 'Unconjugated Antibody'. The primary inventive concept is the composition of the antibody itself, not a method of treatment.",065-075-094-026-839
Composition,Unconjugated Antibody,,[],[],"Claim 1 describes an anti-4-1BB/anti-EGFR bispecific antibody, which is a molecule and does not involve any covalent attachment to a payload, classifying it as an 'Unconjugated Antibody'. The method-of-treatment claims appear later and do not override the primary classification.",046-548-139-465-762
Composition,Unconjugated Antibody,,[],[],"Claim 1 describes an anti-PD-L1/anti-B7-H3 multispecific antibody, which is a molecule and thus classified as 'Composition'. It does not involve any covalent attachment to a payload, so it is categorized as 'Unconjugated Antibody'.",115-389-685-382-652
Composition,Full ADC,,[],[],"Claim 1 explicitly claims an antibody-drug conjugate (ADC) comprising an anti-ROR1 antibody and a linker to an active agent, which qualifies as a Full ADC. The primary inventive concept is directed to the composition of the ADC rather than methods of treatment.",180-068-866-368-876
Composition,Unconjugated Antibody,,[],[],"Claim 1 describes a bispecific antibody without any covalent attachment to a non-antibody payload, classifying it as an 'Unconjugated Antibody'. The primary inventive concept is the composition of the antibody itself, not a method of treatment.",070-837-454-760-121
